Step,latitude,longitude,ID,timestamp,states
210,-0.968243733333333,101.9769549,14,2015-03-14 13:50:27.000,2
211,-0.969229933333333,101.978203283333,14,2015-03-14 13:55:26.000,2
212,-0.970188683333333,101.979884233333,14,2015-03-14 14:00:27.000,2
213,-0.970246066666667,101.979888516667,14,2015-03-14 14:05:26.000,2
214,-0.970438583333333,101.979948216667,14,2015-03-14 14:10:27.000,2
215,-0.971260566666667,101.980354583333,14,2015-03-14 14:15:26.000,2
216,-0.972091083333333,101.980786733333,14,2015-03-14 14:20:26.000,2
217,-0.9723759,101.981030066667,14,2015-03-14 14:25:27.000,2
218,-0.972410583333333,101.981076266667,14,2015-03-14 14:30:27.000,2
219,-0.972431283333333,101.981084666667,14,2015-03-14 14:35:27.000,2
220,-0.972511083333333,101.981424883333,14,2015-03-14 14:40:27.000,2
221,-0.972334183333333,101.9818855,14,2015-03-14 14:45:27.000,2
222,-0.972279666666667,101.98216335,14,2015-03-14 14:50:27.000,1
223,-0.972202016666667,101.982153116667,14,2015-03-14 14:55:28.000,1
224,-0.97221155,101.982191683333,14,2015-03-14 15:00:27.000,1
225,-0.9721869,101.982167533333,14,2015-03-14 15:05:28.000,2
226,-0.972379916666667,101.9819785,14,2015-03-14 15:10:27.000,2
227,-0.972459433333333,101.98197255,14,2015-03-14 15:15:27.000,2
228,-0.972640933333333,101.981922066667,14,2015-03-14 15:20:27.000,2
229,-0.972620016666667,101.981920683333,14,2015-03-14 15:25:27.000,2
230,-0.972739683333333,101.981700283333,14,2015-03-14 15:30:26.000,2
231,-0.9728396,101.981581216667,14,2015-03-14 15:35:27.000,2
232,-0.972968283333333,101.98094585,14,2015-03-14 15:40:27.000,2
233,-0.9730677,101.980655416667,14,2015-03-14 15:45:27.000,2
234,-0.973119783333333,101.98032015,14,2015-03-14 15:50:27.000,2
235,-0.973216233333333,101.9803154,14,2015-03-14 15:55:27.000,1
236,-0.973223,101.980305766667,14,2015-03-14 16:00:26.000,1
237,-0.973241216666667,101.980318783333,14,2015-03-14 16:05:27.000,1
238,-0.973241666666667,101.980305616667,14,2015-03-14 16:10:26.000,1
239,-0.973249616666667,101.980325233333,14,2015-03-14 16:15:26.000,1
240,-0.973245633333333,101.9803146,14,2015-03-14 16:20:26.000,1
241,-0.973243616666667,101.98030075,14,2015-03-14 16:25:27.000,1
242,-0.973211283333333,101.980323816667,14,2015-03-14 16:30:27.000,1
243,-0.97328595,101.98023745,14,2015-03-14 16:35:26.000,1
244,-0.973297466666667,101.980203783333,14,2015-03-14 16:40:26.000,2
245,-0.9734672,101.980082716667,14,2015-03-14 16:45:27.000,2
246,-0.973381666666667,101.9798342,14,2015-03-14 16:50:26.000,2
247,-0.97338495,101.97982655,14,2015-03-14 16:55:26.000,2
248,-0.973398016666667,101.979809866667,14,2015-03-14 17:00:26.000,2
249,-0.9733804,101.979756316667,14,2015-03-14 17:05:27.000,2
250,-0.973445683333333,101.979681416667,14,2015-03-14 17:10:26.000,2
251,-0.973569516666667,101.979633033333,14,2015-03-14 17:15:27.000,2
252,-0.973570133333333,101.97962285,14,2015-03-14 17:20:27.000,2
253,-0.973554133333333,101.979741466667,14,2015-03-14 17:25:27.000,2
254,-0.973816766666667,101.98086805,14,2015-03-14 17:30:26.000,2
255,-0.9739956,101.980938716667,14,2015-03-14 17:35:27.000,2
256,-0.9743464,101.9809166,14,2015-03-14 17:40:27.000,2
257,-0.974603,101.980890083333,14,2015-03-14 17:45:27.000,2
258,-0.97492565,101.980780283333,14,2015-03-14 17:50:26.000,2
259,-0.974982566666667,101.98081195,14,2015-03-14 17:55:27.000,2
260,-0.9754231,101.9808909,14,2015-03-14 18:00:27.000,2
261,-0.97587095,101.980758333333,14,2015-03-14 18:05:27.000,2
262,-0.975888,101.980720766667,14,2015-03-14 18:10:27.000,2
263,-0.976235133333333,101.980801416667,14,2015-03-14 18:15:27.000,2
264,-0.976881083333333,101.980732366667,14,2015-03-14 18:20:27.000,2
265,-0.976627133333333,101.9794141,14,2015-03-14 18:25:26.000,2
266,-0.976438766666667,101.978850983333,14,2015-03-14 18:30:27.000,2
267,-0.976514416666667,101.9787655,14,2015-03-14 18:35:27.000,2
268,-0.976540616666667,101.9787795,14,2015-03-14 18:40:27.000,2
269,-0.97659265,101.978876433333,14,2015-03-14 18:45:27.000,2
270,-0.976714583333333,101.978763666667,14,2015-03-14 18:50:27.000,2
271,-0.976721616666667,101.978746566667,14,2015-03-14 18:55:27.000,2
272,-0.9768718,101.978642683333,14,2015-03-14 19:00:26.000,2
273,-0.97711815,101.9785913,14,2015-03-14 19:05:27.000,2
274,-0.977410983333333,101.978794516667,14,2015-03-14 19:10:26.000,2
275,-0.9778947,101.979004066667,14,2015-03-14 19:15:26.000,2
276,-0.978158233333333,101.979897133333,14,2015-03-14 19:20:27.000,2
277,-0.978137433333333,101.9800656,14,2015-03-14 19:25:26.000,2
278,-0.978472466666667,101.9802562,14,2015-03-14 19:30:27.000,2
279,-0.9783875,101.98020715,14,2015-03-14 19:35:27.000,2
280,-0.978405966666667,101.9805113,14,2015-03-14 19:40:27.000,2
281,-0.9783664,101.980477066667,14,2015-03-14 19:45:27.000,2
282,-0.978309766666667,101.980467433333,14,2015-03-14 19:50:27.000,2
283,-0.978144933333333,101.980425283333,14,2015-03-14 19:55:26.000,2
284,-0.978072833333333,101.98040655,14,2015-03-14 20:00:27.000,2
285,-0.978056466666667,101.980548966667,14,2015-03-14 20:05:26.000,2
286,-0.977941983333333,101.9806064,14,2015-03-14 20:10:27.000,2
287,-0.978088933333333,101.98079335,14,2015-03-14 20:15:26.000,2
288,-0.978311766666666,101.980706566667,14,2015-03-14 20:20:27.000,2
289,-0.978361833333334,101.98086095,14,2015-03-14 20:25:27.000,2
290,-0.978394166666667,101.980984766667,14,2015-03-14 20:30:27.000,2
291,-0.978355083333333,101.9810433,14,2015-03-14 20:35:26.000,2
292,-0.978323433333333,101.9811926,14,2015-03-14 20:40:27.000,2
293,-0.978398733333333,101.981275716667,14,2015-03-14 20:45:26.000,2
294,-0.979142116666667,101.981183116667,14,2015-03-14 20:50:27.000,2
295,-0.979349083333333,101.981061333333,14,2015-03-14 20:55:27.000,2
296,-0.979428866666667,101.981017133333,14,2015-03-14 21:00:27.000,2
297,-0.979426933333333,101.98093215,14,2015-03-14 21:05:27.000,2
298,-0.97942965,101.980856366667,14,2015-03-14 21:10:27.000,2
299,-0.9793856,101.980672,14,2015-03-14 21:15:26.000,2
300,-0.979710766666667,101.980403616667,14,2015-03-14 21:20:27.000,2
301,-0.9803165,101.97995945,14,2015-03-14 21:25:27.000,2
302,-0.980142983333333,101.979172816667,14,2015-03-14 21:30:26.000,2
303,-0.980084,101.978347183333,14,2015-03-14 21:35:26.000,2
304,-0.9799572,101.9781518,14,2015-03-14 21:40:26.000,2
305,-0.979405616666667,101.97742845,14,2015-03-14 21:45:27.000,2
306,-0.9794561,101.9767195,14,2015-03-14 21:50:27.000,2
307,-0.979534116666667,101.976416116667,14,2015-03-14 21:55:26.000,2
308,-0.980103183333334,101.975761533333,14,2015-03-14 22:00:27.000,2
309,-0.980845183333333,101.975732316667,14,2015-03-14 22:05:27.000,2
310,-0.9813797,101.97501615,14,2015-03-14 22:10:27.000,2
311,-0.981410083333333,101.974917216667,14,2015-03-14 22:15:27.000,2
312,-0.981759233333333,101.9748781,14,2015-03-14 22:20:28.000,2
313,-0.981866083333333,101.975135883333,14,2015-03-14 22:25:27.000,2
314,-0.9819268,101.9752761,14,2015-03-14 22:30:30.000,2
315,-0.9819267,101.975335,14,2015-03-14 22:35:28.000,2
316,-0.982418416666667,101.976086916667,14,2015-03-14 22:40:28.000,1
317,-0.982432833333333,101.97603365,14,2015-03-14 22:45:27.000,1
318,-0.98246825,101.976063716667,14,2015-03-14 22:50:27.000,1
319,-0.982449383333333,101.976043466667,14,2015-03-14 22:55:32.000,1
320,-0.982482766666667,101.97601275,14,2015-03-14 23:00:28.000,1
321,-0.982477533333333,101.9759961,14,2015-03-14 23:05:27.000,1
322,-0.982463616666667,101.976013166667,14,2015-03-14 23:10:28.000,2
